Row ID;Order ID;Order Date;Ship Date;Delivery Duration;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Discount Value;Profit;COGS
2698;CA-2014-145317;18/03/2014;23/03/2014;5;Standard Class;SM-20320;Sean Miller;Home Office;United States;Jacksonville;Florida;32216;South;TEC-MA-10002412;Technology;Machines;Cisco TelePresence System EX90 Videoconferencing Unit;22638,48;6;0,5;-11319,24;-1811,0784;-13130,3184
6827;CA-2016-118689;2/10/2016;9/10/2016;7;Standard Class;TC-20980;Tamara Chand;Corporate;United States;Lafayette;Indiana;47905;Central;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;17499,95;5;0;0;8399,976;-9099,974
8154;CA-2017-140151;23/03/2017;25/03/2017;2;First Class;RB-19360;Raymond Buch;Consumer;United States;Seattle;Washington;98115;West;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;13999,96;4;0;0;6719,9808;-7279,9792
2624;CA-2017-127180;22/10/2017;24/10/2017;2;First Class;TA-21385;Tom Ashbrook;Home Office;United States;New York City;New York;10024;East;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;11199,968;4;0,2;-2239,9936;3919,9888;-5039,9856
4191;CA-2017-166709;17/11/2017;22/11/2017;5;Standard Class;HL-15040;Hunter Lopez;Consumer;United States;Newark;Delaware;19711;East;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;10499,97;3;0;0;5039,9856;-5459,9844
9040;CA-2016-117121;17/12/2016;21/12/2016;4;Standard Class;AB-10105;Adrian Barton;Consumer;United States;Detroit;Michigan;48205;Central;OFF-BI-10000545;Office Supplies;Binders;GBC Ibimaster 500 Manual ProClick Binding System;9892,74;13;0;0;4946,37;-4946,37
4099;CA-2014-116904;23/09/2014;28/09/2014;5;Standard Class;SC-20095;Sanjit Chand;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFF-BI-10001120;Office Supplies;Binders;Ibico EPK-21 Electric Binding System;9449,95;5;0;0;4630,4755;-4819,4745
4278;US-2016-107440;16/04/2016;20/04/2016;4;Standard Class;BS-11365;Bill Shonely;Corporate;United States;Lakewood;New Jersey;8701;East;TEC-MA-10001047;Technology;Machines;3D Systems Cube Printer, 2nd Generation, Magenta;9099,93;7;0;0;2365,9818;-6733,9482
8489;CA-2016-158841;2/02/2016;4/02/2016;2;Second Class;SE-20110;Sanjit Engle;Consumer;United States;Arlington;Virginia;22204;South;TEC-MA-10001127;Technology;Machines;"HP Designjet T520 Inkjet Large Format Printer - 24"" Color";8749,95;5;0;0;2799,984;-5949,966
6426;CA-2016-143714;23/05/2016;27/05/2016;4;Standard Class;CC-12370;Christopher Conant;Consumer;United States;Philadelphia;Pennsylvania;19120;East;TEC-CO-10004722;Technology;Copiers;Canon imageCLASS 2200 Advanced Copier;8399,976;4;0,4;-3359,9904;1119,9968;-3919,9888
